No GPU on this node, CUDA module not loaded
Running on 1 core...
10145, 10.64882156557927, 5.892590121948323, 16.560690898737782, 75.29657397741293
10150, 14.95997943752894, 7.495508230523557, 41.195779166589396, 50.74272573855312
10161, 13.448710200277965, 7.030556040226304, 31.809772738844856, 59.47317503691508
10165, 13.0532923906784, 6.732527924564911, 29.06502057613169, 62.05925925925926
10167, 13.231428641403623, 6.8148804237640315, 30.187672922430746, 60.85369512317077
10168, 13.192332536774527, 6.9011012766967585, 30.320607642062924, 60.489969584656045
10174, 16.575945822969274, 6.973659852751726, 49.40673048013928, 41.37923801399794
10176, 16.650126478576553, 6.857895119600343, 49.7586724900548, 40.73914373939411
10177, 16.617853518799127, 6.787652656868025, 49.088377821209605, 40.97212926026077
10180, 16.483851785051876, 6.869991181548357, 48.18538422557416, 42.15376530427112
10182, 16.734231009132596, 6.319519036092564, 50.86026067076763, 37.53446934879446
10198, 14.428363651068167, 7.342060263786546, 38.62776233955273, 53.21754664549424
10199, 17.24128845125754, 6.97704597054647, 53.889583871117196, 37.67465565285307
10200, 12.822394904722419, 7.2590034198734195, 30.670315186629825, 61.66377862672028
10201, 15.949517547910563, 7.272132486368341, 47.055564608114715, 44.6491771223725
10202, 13.545864053992815, 7.4955384617727985, 34.03781537666262, 58.643656679324806
10203, 16.803874591739124, 6.612298279926917, 51.215416069247524, 38.888003823482556
10204, 14.764620268834728, 7.063935427097854, 39.035507361930584, 51.7308510072822
10205, 11.444450732221005, 6.667188719848136, 23.16808915225755, 69.39260602308407
10206, 10.122018659741709, 6.363294813124789, 17.54514804553193, 76.32272924525154
10207, 11.382379999756703, 6.614982468123862, 22.644717520673932, 69.82765283252184
10208, 9.475865598094412, 5.542433459405807, 11.935778252454446, 82.34503645316245
1021, 16.748175446453438, 6.380142532277896, 48.78778837547281, 39.59923388610312
10215, 15.466507942802316, 7.149691413543543, 44.25353739532197, 46.60286291819644
10219, 14.156479056011303, 7.303288274058022, 37.30760536752769, 54.16846474734398
1022, 17.772280485175205, 6.221636320465387, 57.556159706048824, 31.853989403653976
1023, 18.974526032988464, 5.845239696905138, 65.2070415776747, 25.13007724659635
1024, 18.291290337248043, 5.931218114875004, 60.49334523012864, 28.963119934567626
10243, 16.609493647864273, 6.2020423037291526, 48.990305174960156, 38.13005395762353
10244, 15.569027166814914, 6.620873294264825, 44.0976569486675, 43.51338460621236
10245, 16.654521791699157, 6.210931339020504, 49.19584690553746, 37.89407864122848
10247, 15.605938570201177, 6.618947283023366, 44.63278535653586, 43.11970761201438
10249, 16.121165269510797, 6.23215498160222, 45.97662433898076, 40.45269291656843
1025, 17.523912801264206, 6.333028151914344, 56.016014152041336, 33.87365578883665
10251, 12.1756380043886, 7.5894434321893645, 29.171162984419073, 65.16726302038963
10252, 11.99239507633046, 7.614802319754089, 27.49379605955783, 67.02981651376146
10255, 11.924783926149203, 7.2267083372928616, 25.799709616860717, 67.9699999075213
10257, 15.235315694207866, 7.293769594842966, 40.73436198596779, 51.25146463006621
10259, 12.643515738761092, 7.62873360052729, 30.44601416133076, 63.863197479418645
1026, 18.54662833548843, 5.714238573819382, 61.95469798657718, 26.82979120059657
10260, 13.662662995192996, 7.209782980543309, 33.642886934908624, 58.17110851967552
10262, 14.715414858112494, 7.445353547398388, 39.05535889381928, 53.17511758155923
10263, 16.737929692837735, 7.074358378534145, 49.393142553683546, 41.79821668708083
10265, 15.084597286708552, 7.166006986297337, 40.79271686411704, 50.56584771143092
10267, 16.265207039382457, 7.476208266772659, 48.967021053798675, 43.15967131928104
10268, 16.935543392714628, 6.978349482891186, 51.358855384769306, 39.75386770389085
10269, 18.600499197613317, 6.789514479995802, 61.863742070426994, 30.435799700017892
1027, 14.656343229546293, 6.669510694438826, 35.63064151824039, 52.640001333544475
10276, 13.207772189229612, 6.971696257949865, 30.486734771257407, 61.73179213294478
10277, 13.537843489255772, 7.044623541393149, 32.543950239189016, 59.47675177759576
10279, 13.924158360322064, 7.008405471562976, 36.13212462227779, 55.00468896530165
10281, 13.017537872273923, 6.874180292888173, 31.270833333333332, 60.02499999999999
10282, 14.265234445393332, 6.788348281156174, 37.69318931684785, 51.45347827596986
10285, 13.977990910390902, 7.041055274464847, 35.409403063919704, 56.59799260433175
10288, 14.538879308662288, 6.821346902275641, 36.32130690412617, 53.66777592171202
10291, 12.22379168475285, 6.737662754247167, 25.168721421543093, 66.23487874052209
10292, 11.179803531479, 6.445345196544433, 20.07569619667122, 72.58501354198013
10303, 17.624521843253685, 6.581219065479167, 55.59736902385549, 34.55283222618541
10306, 14.258893700182162, 7.368904347614289, 37.096631336541584, 55.58589944200053
1031, 12.153728902173967, 6.847766267718377, 25.77233840304182, 66.4448669201521
10311, 16.352129462473684, 6.581736843148964, 48.19244327726122, 41.00007097735822
10312, 16.43299139459934, 6.4537715269629805, 47.64401017521337, 41.26310534198702
10315, 16.71792534309659, 6.396649526447232, 49.795688696560866, 39.0241288299996
10316, 15.963955489931323, 6.60324101810226, 44.95120351672327, 43.614900621400324
10318, 17.494981314885244, 6.315941970274117, 56.69512066603436, 32.08346506481189
10323, 14.294682420127744, 7.366448501699157, 38.07162799653413, 53.329482365777736
10324, 16.409035201830466, 7.020615712907616, 49.327496510595104, 41.42399441695216
10330, 14.981199775110316, 7.182183056906019, 40.825848417149196, 49.59801820696364
Total time for 100 floor plans: 245.48 seconds
Running on 2 cores...
Finished 10000 in 1.05 seconds
Finished 10009 in 1.82 seconds
Finished 10014 in 2.88 seconds
Finished 10019 in 2.84 seconds
Finished 10029 in 0.81 seconds
Finished 10051 in 0.51 seconds
Finished 10031 in 1.50 seconds
Finished 10053 in 1.25 seconds
Finished 10056 in 0.53 seconds
Finished 10064 in 2.30 seconds
Finished 10075 in 3.02 seconds
Finished 10079 in 2.92 seconds
Finished 10080 in 2.93 seconds
Finished 10083 in 1.28 seconds
Finished 10082 in 3.13 seconds
Finished 10084 in 1.25 seconds
Finished 10085 in 1.39 seconds
Finished 10086 in 2.94 seconds
Finished 10087 in 2.81 seconds
Finished 10090 in 0.51 seconds
Finished 10089 in 2.94 seconds
Finished 10093 in 2.92 seconds
Finished 10097 in 0.97 seconds
Finished 10094 in 2.87 seconds
Finished 10117 in 0.52 seconds
Finished 10119 in 0.52 seconds
Finished 10120 in 0.51 seconds
Finished 10124 in 0.97 seconds
Finished 10126 in 1.40 seconds
Finished 10128 in 0.51 seconds
Finished 10144 in 1.81 seconds
Finished 10136 in 2.00 seconds
Finished 10150 in 0.89 seconds
Finished 10145 in 1.70 seconds
Finished 10161 in 0.83 seconds
Finished 10165 in 0.90 seconds
Finished 10167 in 0.83 seconds
Finished 10168 in 0.83 seconds
Finished 10174 in 5.71 seconds
Finished 10176 in 5.77 seconds
Finished 10177 in 5.91 seconds
Finished 10180 in 6.50 seconds
Finished 10182 in 1.81 seconds
Finished 10198 in 3.45 seconds
Finished 10199 in 3.42 seconds
Finished 10200 in 3.03 seconds
Finished 10201 in 3.46 seconds
Finished 10202 in 3.44 seconds
Finished 10203 in 3.56 seconds
Finished 10205 in 1.81 seconds
Finished 10204 in 3.55 seconds
Finished 10206 in 1.87 seconds
Finished 10207 in 1.81 seconds
Finished 10208 in 3.11 seconds
Finished 10215 in 0.73 seconds
Finished 1021 in 3.83 seconds
Finished 10219 in 1.02 seconds
Finished 1022 in 3.98 seconds
Finished 1023 in 3.83 seconds
Finished 10243 in 1.10 seconds
Finished 10244 in 1.04 seconds
Finished 10245 in 1.09 seconds
Finished 1024 in 3.84 seconds
Finished 10247 in 1.00 seconds
Finished 10249 in 0.90 seconds
Finished 1025 in 3.65 seconds
Finished 10251 in 3.47 seconds
Finished 10252 in 3.02 seconds
Finished 10255 in 3.39 seconds
Finished 10257 in 3.77 seconds
Finished 10259 in 3.33 seconds
Finished 1026 in 3.91 seconds
Finished 10260 in 3.95 seconds
Finished 10262 in 4.23 seconds
Finished 10263 in 4.96 seconds
Finished 10265 in 2.26 seconds
Finished 10267 in 2.56 seconds
Finished 10268 in 2.49 seconds
Finished 10269 in 2.95 seconds
Finished 1027 in 5.56 seconds
Finished 10276 in 4.06 seconds
Finished 10277 in 2.62 seconds
Finished 10279 in 2.89 seconds
Finished 10282 in 0.22 seconds
Finished 10285 in 1.34 seconds
Finished 10281 in 2.89 seconds
Finished 10288 in 1.97 seconds
Finished 10291 in 2.08 seconds
Finished 10292 in 2.08 seconds
Finished 10303 in 1.95 seconds
Finished 1031 in 1.93 seconds
Finished 10306 in 4.32 seconds
Finished 10311 in 2.79 seconds
Finished 10312 in 2.77 seconds
Finished 10315 in 2.41 seconds
Finished 10318 in 2.68 seconds
Finished 10323 in 1.11 seconds
Finished 10324 in 1.32 seconds
Finished 10316 in 6.30 seconds
Finished 10330 in 1.21 seconds
building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.01233878811275, 6.367431059312565, 30.941014791508444, 55.542295034537624
10009, 11.000135812436373, 5.811144379826625, 16.6712734948236, 74.9723590310584
10014, 14.744169941950119, 7.037733284673848, 38.26367541377415, 52.80837116508215
10019, 14.735524480624482, 7.030325006703675, 38.14915412864569, 52.92926826787113
10029, 10.616037322820358, 6.317331938274926, 18.25563221896085, 74.51301795448481
10031, 12.507072852890545, 6.278432089100354, 24.044722033998173, 66.39513301711693
10051, 13.289039951277402, 5.999085063388632, 25.97693550756574, 62.859923608050536
10053, 11.366493551285709, 6.26121798185875, 19.9510754583921, 72.41052538787024
10056, 14.220114507861702, 6.179461157398302, 31.763454814173965, 57.06174975667784
10064, 12.71696893739585, 6.964227784263683, 28.79137124461432, 62.75688345539249
10075, 15.156939199079357, 6.44052034037085, 39.12088154756647, 47.45605511880576
10079, 15.094353507626135, 7.313911268349323, 41.90001451870493, 49.44974108309539
10080, 15.777740694240359, 7.280585752157965, 46.365765006711015, 44.711034476002
10082, 16.465720758630678, 6.713345052234242, 48.64349722630506, 40.56137689061685
10083, 15.639247995421403, 7.120808056609733, 44.855518923515284, 45.886354482120744
10084, 15.100584697661853, 7.1505418077486445, 40.90648998644782, 50.266526125583496
10085, 15.868862158668058, 7.192791728448739, 46.18303917834116, 44.72566696293788
10086, 14.391525374209257, 7.21561607319371, 37.25664572257129, 53.01884968583857
10087, 15.073205905031166, 7.275519953981684, 41.532405798190645, 49.89713190601896
10089, 13.989763514400206, 7.276278123379982, 35.45861191757374, 56.3640146392669
10090, 14.28977151008143, 6.618760487919524, 36.61720380245769, 51.19638302805471
10093, 14.095290264085055, 6.567366222528458, 33.37738587863163, 56.457308750568714
10094, 14.1940414567099, 6.761508386054981, 35.37678542111312, 54.92584687790729
10097, 14.352951510344381, 6.862346996479439, 37.78967295515373, 51.308832169201644
10117, 15.46497230222894, 6.68210644831902, 44.11653993826696, 44.475394614670385
10119, 14.087564093649066, 6.751740274837882, 35.080178957422206, 54.69763233298145
10120, 15.281836130405736, 8.031455943482149, 46.168775716171105, 47.71627461636002
10124, 13.865677573440333, 7.0324711530466, 34.5643361911253, 56.06951967571834
10126, 13.39554651232936, 6.636761690822022, 29.66113660430639, 61.092481468408046
10128, 17.426229514140754, 6.706338569021849, 56.03287758684896, 34.885886045645584
10136, 15.423199679945066, 7.273070414891295, 44.30778965268372, 46.891158413002856
10144, 12.10717489837954, 6.127343501466291, 21.81051363157102, 68.90344931465582
10145, 10.64882156557927, 5.892590121948323, 16.560690898737782, 75.29657397741293
10150, 14.95997943752894, 7.495508230523557, 41.195779166589396, 50.74272573855312
10161, 13.448710200277965, 7.030556040226304, 31.809772738844856, 59.47317503691508
10165, 13.0532923906784, 6.732527924564911, 29.06502057613169, 62.05925925925926
10167, 13.231428641403623, 6.8148804237640315, 30.187672922430746, 60.85369512317077
10168, 13.192332536774527, 6.9011012766967585, 30.320607642062924, 60.489969584656045
10174, 16.575945822969274, 6.973659852751726, 49.40673048013928, 41.37923801399794
10176, 16.650126478576553, 6.857895119600343, 49.7586724900548, 40.73914373939411
10177, 16.617853518799127, 6.787652656868025, 49.088377821209605, 40.97212926026077
10180, 16.483851785051876, 6.869991181548357, 48.18538422557416, 42.15376530427112
10182, 16.734231009132596, 6.319519036092564, 50.86026067076763, 37.53446934879446
10198, 14.428363651068167, 7.342060263786546, 38.62776233955273, 53.21754664549424
10199, 17.24128845125754, 6.97704597054647, 53.889583871117196, 37.67465565285307
10200, 12.822394904722419, 7.2590034198734195, 30.670315186629825, 61.66377862672028
10201, 15.949517547910563, 7.272132486368341, 47.055564608114715, 44.6491771223725
10202, 13.545864053992815, 7.4955384617727985, 34.03781537666262, 58.643656679324806
10203, 16.803874591739124, 6.612298279926917, 51.215416069247524, 38.888003823482556
10204, 14.764620268834728, 7.063935427097854, 39.035507361930584, 51.7308510072822
10205, 11.444450732221005, 6.667188719848136, 23.16808915225755, 69.39260602308407
10206, 10.122018659741709, 6.363294813124789, 17.54514804553193, 76.32272924525154
10207, 11.382379999756703, 6.614982468123862, 22.644717520673932, 69.82765283252184
10208, 9.475865598094412, 5.542433459405807, 11.935778252454446, 82.34503645316245
1021, 16.748175446453438, 6.380142532277896, 48.78778837547281, 39.59923388610312
10215, 15.466507942802316, 7.149691413543543, 44.25353739532197, 46.60286291819644
10219, 14.156479056011303, 7.303288274058022, 37.30760536752769, 54.16846474734398
1022, 17.772280485175205, 6.221636320465387, 57.556159706048824, 31.853989403653976
1023, 18.974526032988464, 5.845239696905138, 65.2070415776747, 25.13007724659635
1024, 18.291290337248043, 5.931218114875004, 60.49334523012864, 28.963119934567626
10243, 16.609493647864273, 6.2020423037291526, 48.990305174960156, 38.13005395762353
10244, 15.569027166814914, 6.620873294264825, 44.0976569486675, 43.51338460621236
10245, 16.654521791699157, 6.210931339020504, 49.19584690553746, 37.89407864122848
10247, 15.605938570201177, 6.618947283023366, 44.63278535653586, 43.11970761201438
10249, 16.121165269510797, 6.23215498160222, 45.97662433898076, 40.45269291656843
1025, 17.523912801264206, 6.333028151914344, 56.016014152041336, 33.87365578883665
10251, 12.1756380043886, 7.5894434321893645, 29.171162984419073, 65.16726302038963
10252, 11.99239507633046, 7.614802319754089, 27.49379605955783, 67.02981651376146
10255, 11.924783926149203, 7.2267083372928616, 25.799709616860717, 67.9699999075213
10257, 15.235315694207866, 7.293769594842966, 40.73436198596779, 51.25146463006621
10259, 12.643515738761092, 7.62873360052729, 30.44601416133076, 63.863197479418645
1026, 18.54662833548843, 5.714238573819382, 61.95469798657718, 26.82979120059657
10260, 13.662662995192996, 7.209782980543309, 33.642886934908624, 58.17110851967552
10262, 14.715414858112494, 7.445353547398388, 39.05535889381928, 53.17511758155923
10263, 16.737929692837735, 7.074358378534145, 49.393142553683546, 41.79821668708083
10265, 15.084597286708552, 7.166006986297337, 40.79271686411704, 50.56584771143092
10267, 16.265207039382457, 7.476208266772659, 48.967021053798675, 43.15967131928104
10268, 16.935543392714628, 6.978349482891186, 51.358855384769306, 39.75386770389085
10269, 18.600499197613317, 6.789514479995802, 61.863742070426994, 30.435799700017892
1027, 14.656343229546293, 6.669510694438826, 35.63064151824039, 52.640001333544475
10276, 13.207772189229612, 6.971696257949865, 30.486734771257407, 61.73179213294478
10277, 13.537843489255772, 7.044623541393149, 32.543950239189016, 59.47675177759576
10279, 13.924158360322064, 7.008405471562976, 36.13212462227779, 55.00468896530165
10281, 13.017537872273923, 6.874180292888173, 31.270833333333332, 60.02499999999999
10282, 14.265234445393332, 6.788348281156174, 37.69318931684785, 51.45347827596986
10285, 13.977990910390902, 7.041055274464847, 35.409403063919704, 56.59799260433175
10288, 14.538879308662288, 6.821346902275641, 36.32130690412617, 53.66777592171202
10291, 12.22379168475285, 6.737662754247167, 25.168721421543093, 66.23487874052209
10292, 11.179803531479, 6.445345196544433, 20.07569619667122, 72.58501354198013
10303, 17.624521843253685, 6.581219065479167, 55.59736902385549, 34.55283222618541
10306, 14.258893700182162, 7.368904347614289, 37.096631336541584, 55.58589944200053
1031, 12.153728902173967, 6.847766267718377, 25.77233840304182, 66.4448669201521
10311, 16.352129462473684, 6.581736843148964, 48.19244327726122, 41.00007097735822
10312, 16.43299139459934, 6.4537715269629805, 47.64401017521337, 41.26310534198702
10315, 16.71792534309659, 6.396649526447232, 49.795688696560866, 39.0241288299996
10316, 15.963955489931323, 6.60324101810226, 44.95120351672327, 43.614900621400324
10318, 17.494981314885244, 6.315941970274117, 56.69512066603436, 32.08346506481189
10323, 14.294682420127744, 7.366448501699157, 38.07162799653413, 53.329482365777736
10324, 16.409035201830466, 7.020615712907616, 49.327496510595104, 41.42399441695216
10330, 14.981199775110316, 7.182183056906019, 40.825848417149196, 49.59801820696364
Total time for 100 floor plans: 124.02 seconds
Running on 4 cores...
Finished 10000 in 1.06 seconds
Finished 10009 in 1.84 seconds
Finished 10029 in 0.82 seconds
Finished 10051 in 0.51 seconds
Finished 10019 in 2.86 seconds
Finished 10014 in 2.89 seconds
Finished 10031 in 1.49 seconds
Finished 10056 in 0.52 seconds
Finished 10053 in 1.24 seconds
Finished 10064 in 2.26 seconds
Finished 10079 in 2.89 seconds
Finished 10075 in 2.98 seconds
Finished 10080 in 2.89 seconds
Finished 10084 in 1.25 seconds
Finished 10083 in 1.28 seconds
Finished 10085 in 1.40 seconds
Finished 10082 in 3.12 seconds
Finished 10090 in 0.51 seconds
Finished 10087 in 2.81 seconds
Finished 10086 in 2.95 seconds
Finished 10089 in 2.95 seconds
Finished 10117 in 0.51 seconds
Finished 10097 in 0.96 seconds
Finished 10093 in 2.92 seconds
Finished 10119 in 0.52 seconds
Finished 10120 in 0.51 seconds
Finished 10128 in 0.51 seconds
Finished 10124 in 0.97 seconds
Finished 10094 in 2.88 seconds
Finished 10126 in 1.41 seconds
Finished 10150 in 0.89 seconds
Finished 10144 in 1.83 seconds
Finished 10136 in 2.01 seconds
Finished 10145 in 1.72 seconds
Finished 10161 in 0.84 seconds
Finished 10167 in 0.84 seconds
Finished 10165 in 0.91 seconds
Finished 10168 in 0.84 seconds
Finished 10174 in 5.88 seconds
Finished 10176 in 5.96 seconds
Finished 10177 in 6.09 seconds
Finished 10180 in 6.80 seconds
Finished 10182 in 1.88 seconds
Finished 10198 in 3.69 seconds
Finished 10199 in 3.65 seconds
Finished 10200 in 3.24 seconds
Finished 10201 in 3.73 seconds
Finished 10205 in 1.83 seconds
Finished 10202 in 3.60 seconds
Finished 10203 in 3.70 seconds
Finished 10204 in 3.67 seconds
Finished 10206 in 1.89 seconds
Finished 10207 in 1.83 seconds
Finished 10215 in 0.73 seconds
Finished 10219 in 1.01 seconds
Finished 10208 in 3.11 seconds
Finished 1021 in 3.81 seconds
Finished 10243 in 1.08 seconds
Finished 1022 in 3.93 seconds
Finished 1023 in 3.77 seconds
Finished 10244 in 1.03 seconds
Finished 1024 in 3.80 seconds
Finished 10245 in 1.08 seconds
Finished 10247 in 1.00 seconds
Finished 10249 in 0.90 seconds
Finished 10252 in 3.01 seconds
Finished 1025 in 3.65 seconds
Finished 10251 in 3.47 seconds
Finished 10255 in 3.38 seconds
Finished 10259 in 3.36 seconds
Finished 10257 in 3.79 seconds
Finished 1026 in 3.92 seconds
Finished 10260 in 3.97 seconds
Finished 10265 in 2.29 seconds
Finished 10267 in 2.58 seconds
Finished 10262 in 4.26 seconds
Finished 10263 in 4.99 seconds
Finished 10268 in 2.52 seconds
Finished 10269 in 2.98 seconds
Finished 10277 in 2.69 seconds
Finished 10276 in 4.12 seconds
Finished 10279 in 2.97 seconds
Finished 10282 in 0.23 seconds
Finished 1027 in 5.66 seconds
Finished 10285 in 1.36 seconds
Finished 10281 in 2.97 seconds
Finished 10288 in 2.00 seconds
Finished 10291 in 2.12 seconds
Finished 10292 in 2.12 seconds
Finished 10303 in 1.97 seconds
Finished 1031 in 1.93 seconds
Finished 10311 in 2.80 seconds
Finished 10312 in 2.79 seconds
Finished 10306 in 4.36 seconds
Finished 10315 in 2.42 seconds
Finished 10323 in 1.10 seconds
Finished 10324 in 1.31 seconds
Finished 10330 in 1.19 seconds
Finished 10318 in 2.65 seconds
Finished 10316 in 6.19 seconds
building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000, 14.01233878811275, 6.367431059312565, 30.941014791508444, 55.542295034537624
10009, 11.000135812436373, 5.811144379826625, 16.6712734948236, 74.9723590310584
10014, 14.744169941950119, 7.037733284673848, 38.26367541377415, 52.80837116508215
10019, 14.735524480624482, 7.030325006703675, 38.14915412864569, 52.92926826787113
10029, 10.616037322820358, 6.317331938274926, 18.25563221896085, 74.51301795448481
10031, 12.507072852890545, 6.278432089100354, 24.044722033998173, 66.39513301711693
10051, 13.289039951277402, 5.999085063388632, 25.97693550756574, 62.859923608050536
10053, 11.366493551285709, 6.26121798185875, 19.9510754583921, 72.41052538787024
10056, 14.220114507861702, 6.179461157398302, 31.763454814173965, 57.06174975667784
10064, 12.71696893739585, 6.964227784263683, 28.79137124461432, 62.75688345539249
10075, 15.156939199079357, 6.44052034037085, 39.12088154756647, 47.45605511880576
10079, 15.094353507626135, 7.313911268349323, 41.90001451870493, 49.44974108309539
10080, 15.777740694240359, 7.280585752157965, 46.365765006711015, 44.711034476002
10082, 16.465720758630678, 6.713345052234242, 48.64349722630506, 40.56137689061685
10083, 15.639247995421403, 7.120808056609733, 44.855518923515284, 45.886354482120744
10084, 15.100584697661853, 7.1505418077486445, 40.90648998644782, 50.266526125583496
10085, 15.868862158668058, 7.192791728448739, 46.18303917834116, 44.72566696293788
10086, 14.391525374209257, 7.21561607319371, 37.25664572257129, 53.01884968583857
10087, 15.073205905031166, 7.275519953981684, 41.532405798190645, 49.89713190601896
10089, 13.989763514400206, 7.276278123379982, 35.45861191757374, 56.3640146392669
10090, 14.28977151008143, 6.618760487919524, 36.61720380245769, 51.19638302805471
10093, 14.095290264085055, 6.567366222528458, 33.37738587863163, 56.457308750568714
